id,cg_id,date,open,high,low,close
fiat_eur_16052015,fiat_eur,16-05-2015,1.1409,1.14667,1.13235,1.14438
fiat_eur_17052015,fiat_eur,17-05-2015,1.14461,1.14488,1.12985,1.13131
fiat_eur_18052015,fiat_eur,18-05-2015,1.13131,1.13263,1.11183,1.11492
fiat_eur_19052015,fiat_eur,19-05-2015,1.11492,1.1152,1.10621,1.10922
fiat_eur_20052015,fiat_eur,20-05-2015,1.10922,1.11813,1.10796,1.11112
fiat_eur_21052015,fiat_eur,21-05-2015,1.11112,1.12084,1.10021,1.10092
fiat_eur_22052015,fiat_eur,22-05-2015,1.11112,1.12084,1.10021,1.10092
fiat_eur_23052015,fiat_eur,23-05-2015,1.11112,1.12084,1.10021,1.10092
fiat_eur_24052015,fiat_eur,24-05-2015,1.10018,1.10095,1.09588,1.09775
fiat_eur_25052015,fiat_eur,25-05-2015,1.09775,1.09813,1.08633,1.0871
fiat_eur_26052015,fiat_eur,26-05-2015,1.0871,1.09291,1.08191,1.09028
fiat_eur_27052015,fiat_eur,27-05-2015,1.09028,1.09588,1.08668,1.09466
fiat_eur_28052015,fiat_eur,28-05-2015,1.09466,1.10063,1.09256,1.09912
fiat_eur_29052015,fiat_eur,29-05-2015,1.09466,1.10063,1.09256,1.09912
fiat_eur_30052015,fiat_eur,30-05-2015,1.09466,1.10063,1.09256,1.09912
fiat_eur_31052015,fiat_eur,31-05-2015,1.09793,1.09884,1.08871,1.09245
fiat_eur_01062015,fiat_eur,01-06-2015,1.09245,1.1194,1.09157,1.11498
fiat_eur_02062015,fiat_eur,02-06-2015,1.11498,1.12851,1.10792,1.12727
fiat_eur_03062015,fiat_eur,03-06-2015,1.12727,1.13798,1.12223,1.12375
fiat_eur_04062015,fiat_eur,04-06-2015,1.12375,1.12802,1.10493,1.11084
fiat_eur_05062015,fiat_eur,05-06-2015,1.12375,1.12802,1.10493,1.11084
fiat_eur_06062015,fiat_eur,06-06-2015,1.12375,1.12802,1.10493,1.11084
fiat_eur_07062015,fiat_eur,07-06-2015,1.1097,1.13066,1.1084,1.12909
fiat_eur_08062015,fiat_eur,08-06-2015,1.12909,1.13453,1.12139,1.12816
fiat_eur_09062015,fiat_eur,09-06-2015,1.12816,1.13865,1.12598,1.13212
fiat_eur_10062015,fiat_eur,10-06-2015,1.13212,1.13313,1.11817,1.12577
fiat_eur_11062015,fiat_eur,11-06-2015,1.12577,1.12964,1.1151,1.12622
fiat_eur_12062015,fiat_eur,12-06-2015,1.12577,1.12964,1.1151,1.12622
fiat_eur_13062015,fiat_eur,13-06-2015,1.12577,1.12964,1.1151,1.12622
fiat_eur_14062015,fiat_eur,14-06-2015,1.12109,1.12944,1.11889,1.12822
fiat_eur_15062015,fiat_eur,15-06-2015,1.12822,1.13295,1.12047,1.1247
fiat_eur_16062015,fiat_eur,16-06-2015,1.1247,1.13578,1.12037,1.13354
fiat_eur_17062015,fiat_eur,17-06-2015,1.13354,1.14362,1.13302,1.13574
fiat_eur_18062015,fiat_eur,18-06-2015,1.13574,1.14005,1.12917,1.13461
fiat_eur_19062015,fiat_eur,19-06-2015,1.13574,1.14005,1.12917,1.13461
fiat_eur_20062015,fiat_eur,20-06-2015,1.13574,1.14005,1.12917,1.13461
fiat_eur_21062015,fiat_eur,21-06-2015,1.1375,1.14103,1.13116,1.13395
fiat_eur_22062015,fiat_eur,22-06-2015,1.13395,1.13474,1.11348,1.1167
fiat_eur_23062015,fiat_eur,23-06-2015,1.1167,1.12346,1.11543,1.12007
fiat_eur_24062015,fiat_eur,24-06-2015,1.12007,1.12277,1.11537,1.12005
fiat_eur_25062015,fiat_eur,25-06-2015,1.12005,1.12199,1.11299,1.11584
fiat_eur_26062015,fiat_eur,26-06-2015,1.12005,1.12199,1.11299,1.11584
fiat_eur_27062015,fiat_eur,27-06-2015,1.12005,1.12199,1.11299,1.11584
fiat_eur_28062015,fiat_eur,28-06-2015,1.10057,1.12781,1.09538,1.12347
fiat_eur_29062015,fiat_eur,29-06-2015,1.12347,1.12442,1.11121,1.11415
fiat_eur_30062015,fiat_eur,30-06-2015,1.11415,1.11722,1.10426,1.10517
fiat_eur_01072015,fiat_eur,01-07-2015,1.10517,1.11215,1.10321,1.10829
fiat_eur_02072015,fiat_eur,02-07-2015,1.10829,1.11178,1.1065,1.11094
fiat_eur_03072015,fiat_eur,03-07-2015,1.10829,1.11178,1.1065,1.11094
fiat_eur_04072015,fiat_eur,04-07-2015,1.10829,1.11178,1.1065,1.11094
fiat_eur_05072015,fiat_eur,05-07-2015,1.09887,1.10955,1.0969,1.10554
fiat_eur_06072015,fiat_eur,06-07-2015,1.10554,1.10583,1.09163,1.101
fiat_eur_07072015,fiat_eur,07-07-2015,1.101,1.10927,1.0974,1.10753
fiat_eur_08072015,fiat_eur,08-07-2015,1.10753,1.1125,1.09915,1.10329
fiat_eur_09072015,fiat_eur,09-07-2015,1.10329,1.1216,1.10291,1.1155
fiat_eur_10072015,fiat_eur,10-07-2015,1.10329,1.1216,1.10291,1.1155
fiat_eur_11072015,fiat_eur,11-07-2015,1.10329,1.1216,1.10291,1.1155
fiat_eur_12072015,fiat_eur,12-07-2015,1.10943,1.11967,1.09939,1.09966
fiat_eur_13072015,fiat_eur,13-07-2015,1.09966,1.10846,1.09652,1.10075
fiat_eur_14072015,fiat_eur,14-07-2015,1.10075,1.10356,1.09297,1.09413
fiat_eur_15072015,fiat_eur,15-07-2015,1.09413,1.09625,1.08554,1.08699
fiat_eur_16072015,fiat_eur,16-07-2015,1.08699,1.09068,1.08275,1.08283
fiat_eur_17072015,fiat_eur,17-07-2015,1.08699,1.09068,1.08275,1.08283
fiat_eur_18072015,fiat_eur,18-07-2015,1.08699,1.09068,1.08275,1.08283
