date,open,high,low,close,id,cg_id
01-01-2015,0.860805,0.860805,0.848205,0.848545,fiat_cad_01012015,fiat_cad
02-01-2015,0.860805,0.860805,0.848205,0.848545,fiat_cad_02012015,fiat_cad
03-01-2015,0.860805,0.860805,0.848205,0.848545,fiat_cad_03012015,fiat_cad
04-01-2015,0.848455,0.851525,0.844365,0.850235,fiat_cad_04012015,fiat_cad
05-01-2015,0.850205,0.85245,0.84459,0.84493,fiat_cad_05012015,fiat_cad
06-01-2015,0.84492,0.84651,0.84215,0.84633,fiat_cad_06012015,fiat_cad
07-01-2015,0.846395,0.847685,0.84429,0.84529,fiat_cad_07012015,fiat_cad
08-01-2015,0.84531,0.84706,0.84103,0.843095,fiat_cad_08012015,fiat_cad
09-01-2015,0.84531,0.84706,0.84103,0.843095,fiat_cad_09012015,fiat_cad
10-01-2015,0.84531,0.84706,0.84103,0.843095,fiat_cad_10012015,fiat_cad
11-01-2015,0.843035,0.84493,0.83514,0.835165,fiat_cad_11012015,fiat_cad
12-01-2015,0.83513,0.83848,0.83377,0.83627,fiat_cad_12012015,fiat_cad
13-01-2015,0.836325,0.83828,0.83213,0.836815,fiat_cad_13012015,fiat_cad
14-01-2015,0.83672,0.847275,0.833585,0.83611,fiat_cad_14012015,fiat_cad
15-01-2015,0.83607,0.836695,0.830095,0.83442,fiat_cad_15012015,fiat_cad
16-01-2015,0.83607,0.836695,0.830095,0.83442,fiat_cad_16012015,fiat_cad
17-01-2015,0.83607,0.836695,0.830095,0.83442,fiat_cad_17012015,fiat_cad
18-01-2015,0.834715,0.837895,0.83433,0.83744,fiat_cad_18012015,fiat_cad
19-01-2015,0.837455,0.837555,0.825445,0.82556,fiat_cad_19012015,fiat_cad
20-01-2015,0.825565,0.82895,0.806825,0.810445,fiat_cad_20012015,fiat_cad
21-01-2015,0.81047,0.812105,0.80517,0.8077,fiat_cad_21012015,fiat_cad
22-01-2015,0.80774,0.809035,0.802795,0.8048,fiat_cad_22012015,fiat_cad
23-01-2015,0.80774,0.809035,0.802795,0.8048,fiat_cad_23012015,fiat_cad
24-01-2015,0.80774,0.809035,0.802795,0.8048,fiat_cad_24012015,fiat_cad
25-01-2015,0.80357,0.80611,0.800675,0.80164,fiat_cad_25012015,fiat_cad
26-01-2015,0.80163,0.807775,0.799945,0.80653,fiat_cad_26012015,fiat_cad
27-01-2015,0.80655,0.80716,0.797635,0.798,fiat_cad_27012015,fiat_cad
28-01-2015,0.797885,0.79925,0.78879,0.79251,fiat_cad_28012015,fiat_cad
29-01-2015,0.792525,0.793155,0.78129,0.785395,fiat_cad_29012015,fiat_cad
30-01-2015,0.792525,0.793155,0.78129,0.785395,fiat_cad_30012015,fiat_cad
31-01-2015,0.792525,0.793155,0.78129,0.785395,fiat_cad_31012015,fiat_cad
01-02-2015,0.787275,0.796335,0.782895,0.795805,fiat_cad_01022015,fiat_cad
02-02-2015,0.795795,0.809605,0.790865,0.805325,fiat_cad_02022015,fiat_cad
03-02-2015,0.805375,0.80705,0.79416,0.79512,fiat_cad_03022015,fiat_cad
04-02-2015,0.79514,0.806855,0.794475,0.804095,fiat_cad_04022015,fiat_cad
05-02-2015,0.80413,0.80788,0.797045,0.79878,fiat_cad_05022015,fiat_cad
06-02-2015,0.80413,0.80788,0.797045,0.79878,fiat_cad_06022015,fiat_cad
07-02-2015,0.80413,0.80788,0.797045,0.79878,fiat_cad_07022015,fiat_cad
08-02-2015,0.797505,0.8046,0.797275,0.802205,fiat_cad_08022015,fiat_cad
09-02-2015,0.802225,0.80313,0.792085,0.79427,fiat_cad_09022015,fiat_cad
10-02-2015,0.79428,0.7954,0.78754,0.791945,fiat_cad_10022015,fiat_cad
11-02-2015,0.791935,0.803955,0.79078,0.79932,fiat_cad_11022015,fiat_cad
12-02-2015,0.799395,0.804995,0.79764,0.803335,fiat_cad_12022015,fiat_cad
13-02-2015,0.799395,0.804995,0.79764,0.803335,fiat_cad_13022015,fiat_cad
14-02-2015,0.799395,0.804995,0.79764,0.803335,fiat_cad_14022015,fiat_cad
15-02-2015,0.80356,0.805095,0.800615,0.80211,fiat_cad_15022015,fiat_cad
16-02-2015,0.8022,0.808885,0.80137,0.807135,fiat_cad_16022015,fiat_cad
17-02-2015,0.80708,0.80766,0.802175,0.80291,fiat_cad_17022015,fiat_cad
18-02-2015,0.802885,0.80403,0.796335,0.800355,fiat_cad_18022015,fiat_cad
