date,type,qty_a,actif_a_id,price,qty_v,actif_v_id,destination,qty_f,actif_f_id,origin,value_f,value_a,id
03-11-23 15:31:00,Depot,2000.0,fiat_eur,,,,Bitget,,,,,1.0683,22
04-11-23 15:26:00,Achat,2142.0,tether,0.9337,1999.9854,fiat_eur,Bitget,1.071,tether,,,1.0,23
05-11-23 10:37:00,Transfert,300.1,tether,,,,MEXC,0.1,tether,Bitget,,1.0,24
05-11-23 19:57:00,Swap,12198.0,truefi,0.04099,499.99602,tether,Binance,9.7584,truefi,,,0.04099,25
05-11-23 21:15:00,Swap,923.1,realio-network,0.325,300.0075,tether,MEXC,,,,,0.325,26
06-11-23 07:30:00,Swap,2015.0,ocean-protocol,0.3969,799.7535,tether,Binance,1.612,ocean-protocol,,,0.3969,27
09-11-23 07:55:00,Transfert,300.1,tether,,,,Trust Wallet (ARB),0.1,tether,Bitget,,1.0,28
09-11-23 08:29:00,Swap,0.026,ethereum,1921.0,49.946,tether,Bitget,0.000026,ethereum,,,1921.0,29
09-11-23 08:32:00,Transfert,0.02597399,ethereum,,,,Trust Wallet (ARB),0.0001,ethereum,Bitget,,1918.98,30
09-11-23 08:39:00,Transfert,300.0,tether,,,,Bitget,0.000063957,ethereum,Trust Wallet (ARB),1914.49,1.0,31
09-11-23 09:00:00,Transfert,303.0,tether,,,,Trust Wallet (ETH),3.0638816,tether,Bitget,,1.0,32
09-11-23 09:28:00,Swap,0.0261,ethereum,1912.0,49.9032,tether,Bitget,0.0000261,ethereum,,,1912.0,33
09-11-23 09:29:00,Transfert,0.0260739,ethereum,,,,Trust Wallet (ETH),0.00032,ethereum,Bitget,,1912.37,34
09-11-23 09:34:00,Swap,224.959801526,autonolas,1.33328761999879,299.936118372,tether,Trust Wallet (ETH),0.008215044,ethereum,,1913.16,1.33328761999879,35
13-11-23 16:14:00,Airdrop,3.5111643,tether,,,,Bitget,,,,,1.0,36
13-11-23 17:38:00,Swap,66.66,chainlink,15.0,999.9,tether,Binance,0.053328,chainlink,,,15.0,37
20-11-23 17:10:00,Swap,1390.3,cardano,0.392,544.9976,tether,Binance,1.11224,cardano,,,0.392,38
20-11-23 21:47:00,Swap,505.044,tether,0.833333333333333,420.87,airtor-protocol,MEXC,,,,,1.0,39
21-11-23 19:51:00,Swap,2.13,bittensor,237.0,504.81,tether,MEXC,,,,,237.0,40
22-11-23 23:20:00,Swap,88.5,havven,3.45,305.325,tether,Binance,0.0708,havven,,,3.45,41
01-12-23 17:00:00,Vente,2690.85,fiat_eur,0.0000284605236263634,0.076583,bitcoin,Trade Republic,1.0,fiat_eur,,,1.087192868,42
