date,open,high,low,close,id,cg_id
01-01-2015,1.006135,1.00694,0.99792,0.99833,fiat_chf_01012015,fiat_chf
02-01-2015,1.006135,1.00694,0.99792,0.99833,fiat_chf_02012015,fiat_chf
03-01-2015,1.006135,1.00694,0.99792,0.99833,fiat_chf_03012015,fiat_chf
04-01-2015,0.99418,0.99668,0.98928,0.993165,fiat_chf_04012015,fiat_chf
05-01-2015,0.993175,0.995865,0.98918,0.989945,fiat_chf_05012015,fiat_chf
06-01-2015,0.98995,0.99061,0.982725,0.9858,fiat_chf_06012015,fiat_chf
07-01-2015,0.98578,0.986505,0.978775,0.98189,fiat_chf_07012015,fiat_chf
08-01-2015,0.981895,0.98641,0.979475,0.98594,fiat_chf_08012015,fiat_chf
09-01-2015,0.981895,0.98641,0.979475,0.98594,fiat_chf_09012015,fiat_chf
10-01-2015,0.981895,0.98641,0.979475,0.98594,fiat_chf_10012015,fiat_chf
11-01-2015,0.986665,0.988335,0.981375,0.98535,fiat_chf_11012015,fiat_chf
12-01-2015,0.98534,0.987525,0.978665,0.98029,fiat_chf_12012015,fiat_chf
13-01-2015,0.980275,0.986375,0.976535,0.98163,fiat_chf_13012015,fiat_chf
14-01-2015,0.98166,1.28488,0.97841,1.19242,fiat_chf_14012015,fiat_chf
15-01-2015,1.1924,1.2077,1.134945,1.166275,fiat_chf_15012015,fiat_chf
16-01-2015,1.1924,1.2077,1.134945,1.166275,fiat_chf_16012015,fiat_chf
17-01-2015,1.1924,1.2077,1.134945,1.166275,fiat_chf_17012015,fiat_chf
18-01-2015,1.16043,1.170635,1.136375,1.13693,fiat_chf_18012015,fiat_chf
19-01-2015,1.136945,1.151385,1.131455,1.14189,fiat_chf_19012015,fiat_chf
20-01-2015,1.141905,1.17643,1.139715,1.163495,fiat_chf_20012015,fiat_chf
21-01-2015,1.1634,1.17288,1.142695,1.1479,fiat_chf_21012015,fiat_chf
22-01-2015,1.147335,1.15209,1.133665,1.13445,fiat_chf_22012015,fiat_chf
23-01-2015,1.147335,1.15209,1.133665,1.13445,fiat_chf_23012015,fiat_chf
24-01-2015,1.147335,1.15209,1.133665,1.13445,fiat_chf_24012015,fiat_chf
25-01-2015,1.136225,1.140995,1.105795,1.107585,fiat_chf_25012015,fiat_chf
26-01-2015,1.1076,1.11909,1.090735,1.1072,fiat_chf_26012015,fiat_chf
27-01-2015,1.107165,1.112955,1.099815,1.10477,fiat_chf_27012015,fiat_chf
28-01-2015,1.104875,1.10562,1.080695,1.082485,fiat_chf_28012015,fiat_chf
29-01-2015,1.082415,1.09048,1.076465,1.08691,fiat_chf_29012015,fiat_chf
30-01-2015,1.082415,1.09048,1.076465,1.08691,fiat_chf_30012015,fiat_chf
31-01-2015,1.082415,1.09048,1.076465,1.08691,fiat_chf_31012015,fiat_chf
01-02-2015,1.07929,1.086605,1.06993,1.07753,fiat_chf_01022015,fiat_chf
02-02-2015,1.07761,1.088655,1.07559,1.08242,fiat_chf_02022015,fiat_chf
03-02-2015,1.08244,1.086025,1.077675,1.079785,fiat_chf_03022015,fiat_chf
04-02-2015,1.079805,1.08661,1.07382,1.085895,fiat_chf_04022015,fiat_chf
05-02-2015,1.08588,1.089755,1.076475,1.079065,fiat_chf_05022015,fiat_chf
06-02-2015,1.08588,1.089755,1.076475,1.079065,fiat_chf_06022015,fiat_chf
07-02-2015,1.08588,1.089755,1.076475,1.079065,fiat_chf_07022015,fiat_chf
08-02-2015,1.07918,1.087525,1.0767,1.08266,fiat_chf_08022015,fiat_chf
09-02-2015,1.08265,1.08523,1.07773,1.07949,fiat_chf_09022015,fiat_chf
10-02-2015,1.07956,1.08347,1.07513,1.07722,fiat_chf_10022015,fiat_chf
11-02-2015,1.07715,1.080275,1.070955,1.07418,fiat_chf_11022015,fiat_chf
12-02-2015,1.074095,1.07879,1.07109,1.072425,fiat_chf_12022015,fiat_chf
13-02-2015,1.074095,1.07879,1.07109,1.072425,fiat_chf_13022015,fiat_chf
14-02-2015,1.074095,1.07879,1.07109,1.072425,fiat_chf_14022015,fiat_chf
15-02-2015,1.07315,1.07711,1.07209,1.073145,fiat_chf_15022015,fiat_chf
16-02-2015,1.072985,1.07619,1.06665,1.06723,fiat_chf_16022015,fiat_chf
17-02-2015,1.067205,1.073465,1.05777,1.061265,fiat_chf_17022015,fiat_chf
18-02-2015,1.06115,1.06548,1.05267,1.05321,fiat_chf_18022015,fiat_chf
19-02-2015,1.053175,1.066855,1.048695,1.065715,fiat_chf_19022015,fiat_chf
20-02-2015,1.053175,1.066855,1.048695,1.065715,fiat_chf_20022015,fiat_chf
21-02-2015,1.053175,1.066855,1.048695,1.065715,fiat_chf_21022015,fiat_chf
22-02-2015,1.06286,1.065005,1.049735,1.05291,fiat_chf_22022015,fiat_chf
23-02-2015,1.05295,1.056105,1.050055,1.051845,fiat_chf_23022015,fiat_chf
24-02-2015,1.051855,1.05646,1.05142,1.054375,fiat_chf_24022015,fiat_chf
25-02-2015,1.05435,1.058195,1.047455,1.049675,fiat_chf_25022015,fiat_chf
26-02-2015,1.049685,1.058145,1.04746,1.04799,fiat_chf_26022015,fiat_chf
27-02-2015,1.049685,1.058145,1.04746,1.04799,fiat_chf_27022015,fiat_chf
28-02-2015,1.049685,1.058145,1.04746,1.04799,fiat_chf_28022015,fiat_chf
01-03-2015,1.048615,1.048785,1.04187,1.04353,fiat_chf_01032015,fiat_chf
02-03-2015,1.043385,1.046215,1.039655,1.04025,fiat_chf_02032015,fiat_chf
03-03-2015,1.040245,1.04241,1.032815,1.03811,fiat_chf_03032015,fiat_chf
04-03-2015,1.038065,1.038545,1.025675,1.026675,fiat_chf_04032015,fiat_chf
05-03-2015,1.02667,1.028595,1.01333,1.01413,fiat_chf_05032015,fiat_chf
06-03-2015,1.02667,1.028595,1.01333,1.01413,fiat_chf_06032015,fiat_chf
07-03-2015,1.02667,1.028595,1.01333,1.01413,fiat_chf_07032015,fiat_chf
08-03-2015,1.01313,1.017805,1.012675,1.014325,fiat_chf_08032015,fiat_chf
09-03-2015,1.014355,1.01479,1.000005,1.00047,fiat_chf_09032015,fiat_chf
10-03-2015,1.00045,1.003045,0.98928,0.99091,fiat_chf_10032015,fiat_chf
11-03-2015,0.99088,1.00184,0.987225,0.997715,fiat_chf_11032015,fiat_chf
12-03-2015,0.997705,0.997795,0.988865,0.99423,fiat_chf_12032015,fiat_chf
13-03-2015,0.997705,0.997795,0.988865,0.99423,fiat_chf_13032015,fiat_chf
14-03-2015,0.997705,0.997795,0.988865,0.99423,fiat_chf_14032015,fiat_chf
15-03-2015,0.993125,0.99765,0.99177,0.99246,fiat_chf_15032015,fiat_chf
16-03-2015,0.99244,0.999,0.990895,0.99396,fiat_chf_16032015,fiat_chf
17-03-2015,0.99401,1.03866,0.9931,1.02223,fiat_chf_17032015,fiat_chf
18-03-2015,1.022265,1.024335,1.00141,1.01025,fiat_chf_18032015,fiat_chf
19-03-2015,1.01022,1.02775,1.00953,1.025325,fiat_chf_19032015,fiat_chf
20-03-2015,1.01022,1.02775,1.00953,1.025325,fiat_chf_20032015,fiat_chf
21-03-2015,1.01022,1.02775,1.00953,1.025325,fiat_chf_21032015,fiat_chf
22-03-2015,1.025445,1.03719,1.01911,1.03488,fiat_chf_22032015,fiat_chf
23-03-2015,1.03488,1.048575,1.031465,1.043665,fiat_chf_23032015,fiat_chf
24-03-2015,1.04367,1.04661,1.03947,1.04204,fiat_chf_24032015,fiat_chf
25-03-2015,1.04202,1.053695,1.03553,1.0383,fiat_chf_25032015,fiat_chf
26-03-2015,1.03828,1.04627,1.03162,1.03996,fiat_chf_26032015,fiat_chf
27-03-2015,1.03828,1.04627,1.03162,1.03996,fiat_chf_27032015,fiat_chf
28-03-2015,1.03828,1.04627,1.03162,1.03996,fiat_chf_28032015,fiat_chf
29-03-2015,1.03959,1.041135,1.032035,1.034205,fiat_chf_29032015,fiat_chf
