index,total_fiat_usd,total_fiat_eur,total_fiat_cad,total_fiat_chf,cash_in_fiat_usd,cash_in_fiat_eur,cash_in_fiat_cad,cash_in_fiat_chf,cash_in_fiat_usd_percent,cash_in_fiat_eur_percent,cash_in_fiat_cad_percent,cash_in_fiat_chf_percent
2023-11-17,15900.163246721506,14570.329292220538,21817.657365745952,14081.221464096801,15260.103717028274,14495.528344790153,21098.09097570526,13815.889989323401,1.0419433276183443,1.0051602774077062,1.034105758235154,1.0192048051177625
2023-11-18,16626.754581753034,15236.151073293533,22814.661015749763,14724.692436294668,15260.103717028274,14495.528344790153,21098.09097570526,13815.889989323401,1.089557115080401,1.051093186180383,1.0813613915126803,1.0657795080645234
2023-11-19,16396.87158348091,14987.99961926957,22505.554145079965,14512.496478261099,15260.103717028274,14495.528344790153,21098.09097570526,13815.889989323401,1.0744928008047647,1.0339740134174837,1.066710451243926,1.050420674272596
2023-11-20,16895.64371410708,15485.247382508229,23150.901561522704,14930.294409511087,15260.103717028274,14495.528344790153,21098.09097570526,13815.889989323401,1.107177515134039,1.06827754147187,1.097298404304981,1.0806610664277778
2023-11-21,15931.925585091009,14631.47967185641,21806.78157541594,14081.665187746994,15260.103717028274,14495.528344790153,21098.09097570526,13815.889989323401,1.044024724898368,1.0093788459332094,1.0335902712964289,1.0192369220244935
2023-11-22,17018.786710858407,15604.117425098937,23309.89400344935,15048.953891261706,15260.103717028274,14495.528344790153,21098.09097570526,13815.889989323401,1.1152471193146396,1.0764780043845192,1.1048342729345044,1.0892496902400923
2023-11-23,17037.763075766376,15573.96601044468,23230.092749550236,15036.681501541263,15260.103717028274,14495.528344790153,21098.09097570526,13815.889989323401,1.1164906472263663,1.0743979550108727,1.1010518807744267,1.0883614094467502
2023-11-24,17564.49796477095,16055.446544091767,23948.26803298309,15501.551492190269,15260.103717028274,14495.528344790153,21098.09097570526,13815.889989323401,1.1510077710134614,1.10761375247576,1.1350917038209687,1.1220088973037212
2023-11-25,17825.471819267113,16293.998865864509,24304.092140772005,15731.874024135199,15260.103717028274,14495.528344790153,21098.09097570526,13815.889989323401,1.1681094801063656,1.1240707118979036,1.1519569314948208,1.138679740233342
2023-11-26,17746.042702675873,16199.774250468641,24162.19196911434,15622.822949697267,15260.103717028274,14495.528344790153,21098.09097570526,13815.889989323401,1.162904461971226,1.1175704579468475,1.1452311963645163,1.1307865770334176
2023-11-27,17128.72214777985,15578.363420201404,23247.924629002828,15039.904948945546,15260.103717028274,14495.528344790153,21098.09097570526,13815.889989323401,1.1224512274229461,1.0747013182034468,1.10189707001326,1.0885947239423617
2023-11-28,17342.005247349447,15808.861827334542,23566.82984969994,15155.18747119357,15260.103717028274,14495.528344790153,21098.09097570526,13815.889989323401,1.1364277444587774,1.0906026638909243,1.1170124290788899,1.096938921988026
2023-11-29,17111.497302647156,15715.345966943863,23202.816777039432,14976.126329898569,15260.103717028274,14495.528344790153,21098.09097570526,13815.889989323401,1.1213224772222858,1.0841513046740463,1.0997590636876953,1.083978400339882
2023-11-30,17420.172143958993,16006.332770353654,23512.018604219153,15139.418714603913,15260.103717028274,14495.528344790153,21098.09097570526,13815.889989323401,1.141550048871579,1.104225550778665,1.1144145046721792,1.0957975726719962
2023-12-01,14792.030889272251,13591.494206051704,19964.81450290152,12855.369477488595,12740.390964374823,12099.97080387529,17611.381851789556,11532.650726763568,1.1610342987616553,1.123266694304644,1.1336313453945595,1.1146933850736866
2023-12-02,15220.805642327376,13985.469152120566,20543.532088901244,13228.006467933234,12740.390964374823,12099.97080387529,17611.381851789556,11532.650726763568,1.1946890550602713,1.1558266857669939,1.1664917757043431,1.147004863091474
2023-12-03,14758.7447061852,13619.726942023752,19978.9427670823,12881.464480167928,12740.390964374823,12099.97080387529,17611.381851789556,11532.650726763568,1.1584216487118941,1.1255999838992772,1.1344335688827374,1.1169560914798362
2023-12-04,14733.8198102869,13644.573507206596,20026.259553891603,12891.72169700225,12740.390964374823,12099.97080387529,17611.381851789556,11532.650726763568,1.1564652804993332,1.1276534239931069,1.1371202851896975,1.117845498180632
2023-12-05,14810.956331699761,13759.202864720522,20134.79836824829,12956.2667468834,12740.390964374823,12099.97080387529,17611.381851789556,11532.650726763568,1.162519766710043,1.1371269474727843,1.1432832776947779,1.1234422210338928
2023-12-06,14453.973962608898,13391.989217649309,19658.985171555894,12649.630647105734,12740.390964374823,12099.97080387529,17611.381851789556,11532.650726763568,1.134500032457847,1.106778638950122,1.1162659090012448,1.096853702310607
2023-12-07,14672.481251608253,13634.867811177633,19929.885360203003,12913.984044296412,12740.390964374823,12099.97080387529,17611.381851789556,11532.650726763568,1.1516507847079431,1.1268512984188985,1.1316480176243442,1.1197758737570378
2023-12-08,18029.43058355953,16754.419276609544,24489.687768433425,15868.602923470547,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.1661691237372012,1.1475904116941138,1.149426550064656,1.139440787942532
2023-12-09,17970.689193595943,16699.831979923743,24409.89832125012,15816.901690412478,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.1623696473786185,1.1438514663303445,1.1456816224087925,1.1357283947332877
2023-12-10,18284.61582975374,16986.191362039444,24820.127774766337,16060.832905638968,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.1826748671418945,1.1634655917613232,1.1649357929784085,1.153243810389089
2023-12-11,17661.756455013805,16361.659028601156,24003.96373263087,15459.47670150142,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.1423874399885203,1.1206883814137638,1.1266290318588237,1.1100635890185515
2023-12-12,18104.802236024312,16647.94092562304,24475.540733563575,15781.04357029794,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.1710442690448755,1.1402971995195978,1.1487625572184488,1.133153612010795
2023-12-13,18624.022600410288,16943.560290771562,24968.85948385189,16158.83129764202,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.2046281781182235,1.1605455855337383,1.1719165342959759,1.1602805587115201
2023-12-14,19288.20626165907,17704.048042790204,25809.662812911476,16784.83242903121,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.2475885186930027,1.2126350335783984,1.2113797434206572,1.2052304024906482
2023-12-15,18494.961676212897,16975.953368774917,24748.217544191477,16094.541312204201,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.196280334619648,1.1627643425737872,1.1615606773368543,1.1556642335052392
2023-12-16,18807.69450945913,17263.001165197275,25166.68719694795,16366.685239425075,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.2165083375185952,1.1824256207973844,1.1812016026856302,1.1752054553986728
2023-12-17,18224.759078775827,16683.83964881159,24419.824307292984,15803.161609538236,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.1788032476520744,1.142756074986607,1.1461474998018046,1.1347417919016933
2023-12-18,18395.08714602179,16751.89387574952,24525.474836037796,15837.490762745947,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.1898203084520533,1.1474174348952884,1.151106220546468,1.137206787564452
2023-12-19,18309.538310069373,16731.124065710264,24476.683479585812,15795.659155475456,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.1842868884920053,1.1459948111409077,1.1488161921455395,1.1342030801946814
2023-12-20,18951.075433326823,17209.16386673582,25169.770673670624,16226.347209848982,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.2257824188919633,1.178738046403676,1.1813463260502177,1.1651285207264985
2023-12-21,19273.05037400554,17497.730624812102,25570.570469147086,16497.43878553346,15460.390964374823,14599.65080387529,21306.004952692158,13926.658665716366,1.246608214398729,1.1985033655851243,1.2001579144435555,1.1845941787993737
